topic,termNamesStr,domain,count
8,"[help, support, food, people, new]",tucson.com,202
8,"[help, support, food, people, new]",theguardian.com,407
8,"[help, support, food, people, new]",wickedlocal.com,1929
8,"[help, support, food, people, new]",cnn.com,208
8,"[help, support, food, people, new]",thestar.com.my,387
8,"[help, support, food, people, new]",business-standard.com,1096
8,"[help, support, food, people, new]",timesofisrael.com,115
8,"[help, support, food, people, new]",vanguardngr.com,349
8,"[help, support, food, people, new]",bbc.com,222
8,"[help, support, food, people, new]",daijiworld.com,243
8,"[help, support, food, people, new]",moneycontrol.com,385
8,"[help, support, food, people, new]",abc.net.au,280
8,"[help, support, food, people, new]",ctvnews.ca,765
8,"[help, support, food, people, new]",stltoday.com,406
8,"[help, support, food, people, new]",newindianexpress.com,175
8,"[help, support, food, people, new]",globalnews.ca,718
8,"[help, support, food, people, new]",aljazeera.com,168
8,"[help, support, food, people, new]",scoop.co.nz,1072
8,"[help, support, food, people, new]",theglobeandmail.com,395
8,"[help, support, food, people, new]",thenews.com.pk,418
8,"[help, support, food, people, new]",indianexpress.com,357
8,"[help, support, food, people, new]",thehour.com,290
8,"[help, support, food, people, new]",bbc.co.uk,421
8,"[help, support, food, people, new]",hindustantimes.com,389
8,"[help, support, food, people, new]",apnews.com,203
8,"[help, support, food, people, new]",gazette.com,179
8,"[help, support, food, people, new]",chron.com,815
8,"[help, support, food, people, new]",news12.com,164
8,"[help, support, food, people, new]",news.com.au,247
8,"[help, support, food, people, new]",pressandjournal.co.uk,633
8,"[help, support, food, people, new]",ndtv.com,212
8,"[help, support, food, people, new]",channelnewsasia.com,329
8,"[help, support, food, people, new]",siouxcityjournal.com,506
8,"[help, support, food, people, new]",accesswdun.com,127
8,"[help, support, food, people, new]",firstpost.com,217
8,"[help, support, food, people, new]",forbes.com,953
8,"[help, support, food, people, new]",thehindu.com,713
8,"[help, support, food, people, new]",gulfnews.com,264
8,"[help, support, food, people, new]",dailymail.co.uk,2031
8,"[help, support, food, people, new]",thehill.com,218
8,"[help, support, food, people, new]",msn.com,2659
8,"[help, support, food, people, new]",cbc.ca,771
8,"[help, support, food, people, new]",stamfordadvocate.com,336
8,"[help, support, food, people, new]",mirror.co.uk,354
8,"[help, support, food, people, new]",nbcnews.com,406
8,"[help, support, food, people, new]",foxnews.com,288
8,"[help, support, food, people, new]",newstimes.com,253
8,"[help, support, food, people, new]",princegeorgecitizen.com,326
8,"[help, support, food, people, new]",latimes.com,294
8,"[help, support, food, people, new]",washingtontimes.com,310
8,"[help, support, food, people, new]",indiatoday.in,165
8,"[help, support, food, people, new]",ksl.com,195
8,"[help, support, food, people, new]",inquirer.net,602
8,"[help, support, food, people, new]",stuff.co.nz,739
8,"[help, support, food, people, new]",iheart.com,2767
8,"[help, support, food, people, new]",chinadaily.com.cn,209
8,"[help, support, food, people, new]",netscape.com,135
8,"[help, support, food, people, new]",allafrica.com,1553
8,"[help, support, food, people, new]",china.org.cn,106
8,"[help, support, food, people, new]",thejakartapost.com,234
8,"[help, support, food, people, new]",telegraph.co.uk,448
8,"[help, support, food, people, new]",680news.com,266
8,"[help, support, food, people, new]",timesnownews.com,315
8,"[help, support, food, people, new]",greenwichtime.com,264
8,"[help, support, food, people, new]",ctpost.com,357
8,"[help, support, food, people, new]",orissapost.com,345
8,"[help, support, food, people, new]",patch.com,619
8,"[help, support, food, people, new]",reuters.com,1453
8,"[help, support, food, people, new]",nhregister.com,289
8,"[help, support, food, people, new]",prnewswire.com,1489
8,"[help, support, food, people, new]",aninews.in,318
8,"[help, support, food, people, new]",abs-cbn.com,279
8,"[help, support, food, people, new]",lmtonline.com,350
8,"[help, support, food, people, new]",eveningexpress.co.uk,640
8,"[help, support, food, people, new]",thestar.com,492
8,"[help, support, food, people, new]",wfmz.com,225
8,"[help, support, food, people, new]",straitstimes.com,341
8,"[help, support, food, people, new]",nzherald.co.nz,778
8,"[help, support, food, people, new]",reliefweb.int,1155
8,"[help, support, food, people, new]",dawn.com,165
8,"[help, support, food, people, new]",newsnow.co.uk,284
8,"[help, support, food, people, new]",cnbc.com,307
8,"[help, support, food, people, new]",marketwatch.com,389
8,"[help, support, food, people, new]",onlinenigeria.com,197
8,"[help, support, food, people, new]",ibtimes.com,211
8,"[help, support, food, people, new]",washingtonpost.com,448
8,"[help, support, food, people, new]",seattlepi.com,304
8,"[help, support, food, people, new]",nytimes.com,380
8,"[help, support, food, people, new]",usatoday.com,392
8,"[help, support, food, people, new]",thetelegraph.com,676
8,"[help, support, food, people, new]",sfgate.com,864
8,"[help, support, food, people, new]",prokerala.com,345
8,"[help, support, food, people, new]",xinhuanet.com,233
8,"[help, support, food, people, new]",fool.com,670
8,"[help, support, food, people, new]",indiatimes.com,1260
8,"[help, support, food, people, new]",yahoo.com,2860
8,"[help, support, food, people, new]",financialexpress.com,322
8,"[help, support, food, people, new]",go.com,228
8,"[help, support, food, people, new]",express.co.uk,482
8,"[help, support, food, people, new]",independent.co.uk,258
0,"[2020, school, new, time, students]",nbcnews.com,800
0,"[2020, school, new, time, students]",chinadaily.com.cn,300
0,"[2020, school, new, time, students]",straitstimes.com,246
0,"[2020, school, new, time, students]",patch.com,468
0,"[2020, school, new, time, students]",apnews.com,338
0,"[2020, school, new, time, students]",theguardian.com,587
0,"[2020, school, new, time, students]",globalnews.ca,607
0,"[2020, school, new, time, students]",indianexpress.com,568
0,"[2020, school, new, time, students]",stltoday.com,382
0,"[2020, school, new, time, students]",nytimes.com,895
0,"[2020, school, new, time, students]",xinhuanet.com,262
0,"[2020, school, new, time, students]",aninews.in,214
0,"[2020, school, new, time, students]",allafrica.com,803
0,"[2020, school, new, time, students]",680news.com,367
0,"[2020, school, new, time, students]",scoop.co.nz,321
0,"[2020, school, new, time, students]",eveningexpress.co.uk,370
0,"[2020, school, new, time, students]",dailymail.co.uk,3180
0,"[2020, school, new, time, students]",reliefweb.int,64
0,"[2020, school, new, time, students]",thehill.com,570
0,"[2020, school, new, time, students]",siouxcityjournal.com,229
0,"[2020, school, new, time, students]",ksl.com,406
0,"[2020, school, new, time, students]",thehour.com,624
